"","state","county","total_loss","closed_loss","open_loss","cwop_loss","total_pay"
"1","ALABAMA","AUTAUGA COUNTY",383,259,11,113,5406709.64
"2","ALABAMA","BALDWIN COUNTY",17628,14064,10,3554,550744673.38
"3","ALABAMA","BARBOUR COUNTY",30,17,0,13,678052.93
"4","ALABAMA","BIBB COUNTY",5,2,0,3,4355.14
"5","ALABAMA","BLOUNT COUNTY",24,19,0,5,1084320.81
"6","ALABAMA","BULLOCK COUNTY",3,3,0,0,62114.64
"7","ALABAMA","BUTLER COUNTY",1,0,0,1,0
"8","ALABAMA","CALHOUN COUNTY",110,67,0,43,448275.09
"9","ALABAMA","CHAMBERS COUNTY",18,15,0,3,852624.74
"10","ALABAMA","CHEROKEE COUNTY",10,6,0,4,157312.44
"11","ALABAMA","CHILTON COUNTY",10,7,1,2,58258.98
"12","ALABAMA","CHOCTAW COUNTY",48,36,0,12,444942.06
"13","ALABAMA","CLARKE COUNTY",2,2,0,0,1941.57
"14","ALABAMA","COFFEE COUNTY",576,487,1,88,17256775.47
"15","ALABAMA","COLBERT COUNTY",108,88,0,20,1081799.4
"16","ALABAMA","CONECUH COUNTY",2,1,0,1,6624
"17","ALABAMA","COOSA COUNTY",10,6,0,4,186063.61
"18","ALABAMA","COVINGTON COUNTY",40,26,0,14,450006.02
"19","ALABAMA","CRENSHAW COUNTY",1,1,0,0,63305.59
"20","ALABAMA","CULLMAN COUNTY",16,12,0,4,250408.26
"21","ALABAMA","DALE COUNTY",241,211,0,30,5697141.92
"22","ALABAMA","DALLAS COUNTY",191,146,0,45,1781811.64
"23","ALABAMA","DE KALB COUNTY",33,25,1,7,644575.92
"24","ALABAMA","ELMORE COUNTY",40,25,1,14,584292.04
"25","ALABAMA","ESCAMBIA COUNTY",312,265,0,47,10483394.15
"26","ALABAMA","ETOWAH COUNTY",102,78,0,24,580651.91
"27","ALABAMA","FRANKLIN COUNTY",2,1,0,1,7081.67
"28","ALABAMA","GENEVA COUNTY",164,148,1,15,2816589.86
"29","ALABAMA","GREENE COUNTY",137,115,0,22,711594.23
"30","ALABAMA","HALE COUNTY",144,120,0,24,513168.91
"31","ALABAMA","HENRY COUNTY",5,3,0,2,33975.32
"32","ALABAMA","HOUSTON COUNTY",79,64,0,15,1884054.43
"33","ALABAMA","JACKSON COUNTY",61,47,0,14,515840.41
"34","ALABAMA","JEFFERSON COUNTY",2465,1951,2,512,34783467.38
"35","ALABAMA","LAMAR COUNTY",13,11,0,2,74652.23
"36","ALABAMA","LAUDERDALE COUNTY",120,93,0,27,1020698.22
"37","ALABAMA","LAWRENCE COUNTY",33,31,0,2,437271.58
"38","ALABAMA","LEE COUNTY",73,51,1,21,337564.64
