EVENT	# PD LOSSES	AMOUNT PD ($)	AVG PD LOSS	Year	Month
MASSACHUSETTS FLOOD FEB. 1978	2202	20145418	9149	1978	February
LOUISIANA FLOOD MAY 1978	7343	43422439	5913	1978	May
"WV, IN, KY, OH FLOODS DEC 1978"	1879	11934512	6352	1978	December
"PA, CT, MA, NJ, NY, RI FLOODS"	8826	31487015	3568	1979	January
"ND, MN FLOODS"	2141	10360266	4839	1979	April
TEXAS FLOOD APRIL 1979	1954	20131418	10303	1979	April
FLORIDA FLOOD APRIL 1979	1488	2029163	1364	1979	April
TROPICAL STORM CLAUDETTE	9664	147295363	15242	1979	July
HURRICANE FREDERIC	2947	45809311	15544	1979	September
TEXAS FLOOD SEPTEMBER 1979	6261	47085222	7520	1979	September
"NJ, CT & NY FLOODS APRIL 1980"	2159	7156481	3315	1980	April
LOUISIANA FLOOD APRIL 1980	12831	86279354	6724	1980	April
HURRICANE ALLEN	3636	27454134	7551	1980	August
TEXAS FLOOD EVENT JUNE 1981	2143	13414893	6260	1981	June
TEXAS FLOOD AUGUST 1981	2740	20958042	7649	1981	August
LOUISIANA FLOOD APRIL 1992	3187	20785522	6522	1982	April
"RI, MA, CT FLOODS JUNE 1982"	2189	15684431	7165	1982	June
THE 'NO-NAME STORM'	2921	10474435	3586	1982	June
"MO, IL FLOODS DECEMBER 1982"	3172	29851938	9411	1982	December
LOUISIANA FLOOD DECEMBER 1982	1636	12917415	7896	1982	December
LOUISIANA FLOOD APRIL 1983	11581	104833841	9052	1983	April
ALICIA	10518	119388681	11351	1983	August
NEW JERSEY FLOOD MARCH 1984	4096	22163537	5411	1984	March
NEW JERSEY FLOOD APRIL 1984	2471	33300119	13476	1984	April
KENTUCKY FLOOD MAY 1984	2654	32623472	12292	1984	May
ELENA	8234	81322383	9876	1985	August
GLORIA	6088	39194422	6438	1985	September
ISABEL OCTOBER 1985	1612	5769195	3579	1985	October
JUAN	6187	90987478	14706	1985	October
CALIFORNIA FLOOD FEBRUARY 1986	2003	34838406	17393	1986	February
LOUISIANA FLOOD APRIL 1988	3003	17124219	5702	1988	April
TEXAS FLOOD MAY 1989	2562	59020120	23037	1989	May
TROPICAL STORM ALLISON 1989	3127	39303958	12569	1989	June
HURRICANE CHANTEL	2919	39510677	13536	1989	August
HUGO	12840	376433739	29317	1989	September
LOUISIANA FLOOD NOVEMBER 1989	4455	48911213	10979	1989	November
LOUISIANA FLOOD JUNE 1991	1919	15832141	8250	1991	June
BOB	2821	49707690	17621	1991	August
HALLOWEEN	9541	143158312	15005	1991	October
"DE, NJ, PR FLOODS JANUARY 1992"	3211	30087521	9370	1992	January
TEXAS FLOOD MARCH 1992	2353	50956063	21656	1992	March
ANDREW	5587	169113347	30269	1992	August
NOR'EASTER - 1992	25142	346150356	13768	1992	December
MARCH STORM	9840	212596101	21605	1993	March
MIDWEST FLOOD	10472	272819515	26052	1993	June
TEXAS FLOOD OCTOBER 1994	6226	217628440	34955	1994	October
CA FLOOD JANUARY 1995	3410	74842843	21948	1995	January
LOUISIANA FLOOD	31343	585071593	18667	1995	May
OPAL	10343	405527543	39208	1995	October
NORTHEAST FLOOD - JAN 1996	12523	186623944	14902	1996	January
NORTHWEST FLOOD	2329	61903974	26580	1996	February
BERTHA	1166	10388364	8909	1996	July
FRAN	10315	217843972	21119	1996	September
HORTENSE	1382	20465346	14808	1996	September
JOSEPHINE	6512	102604272	15756	1996	October
NORTHEAST FLOOD - OCT 1996	3480	40837392	11735	1996	October
CALIFORNIA FLOOD DECEMBER 1996	1858	39699759	21367	1996	December
SOUTH CENTRAL FLOOD	4529	100469721	22184	1997	February
UPPER MIDWEST FLOOD	7398	160101054	21641	1997	April
PINEAPPLE EXPRESS	4227	57680410	13646	1998	January
NOR'EASTER	3212	28011201	8721	1998	February
HURRICANE BONNIE	2675	23073621	8626	1998	August
TEXAS FLOOD SEPTEMBER 1998	4876	78402842	16079	1998	September
LOUISIANA FLOOD SEPTEMBER 1998	5176	50999758	9853	1998	September
HURRICANE GEORGES (KEYS)	3437	43208306	12572	1998	September
HURRICANE GEORGES	9097	154169745	16947	1998	September
HURRICANE GEORGES (PANHANDLE)	1679	23137642	13781	1998	September
TEXAS FLOOD OCTOBER 1998	3191	143779364	45058	1998	October
HURRICANE FLOYD	20439	462326389	22620	1999	September
HURRICANE IRENE	13682	117858779	8614	1999	October
FLORIDA FLOOD OCTOBER 2000	9276	158283182	17064	2000	October
TROPICAL STORM ALLISON - 2001	30671	1105003344	36028	2001	June
TROPICAL STORM GABRIELLE	2418	34828580	14404	2001	September
