Applicant,Subgrant Title,Proposed Federal Share,Status,Year
Alabama,Baldwin County Floodplain Management Plan,24999.99,Identified for Further Review,2015
Alabama,City of Saraland Acquisition/Demolition Project,88312.50,Not Selected,2015
Alaska,Matanuska River Flood Acquisition of 9 structures for Butte Area 1--FMA,2229262.50,Did Not Meet HMA Requirements,2015
Alaska,"Matanuska River Flood Acquisition Of Five Structures: Sutton, AK -- FMA",821437.50,Did Not Meet HMA Requirements,2015
Alaska,Matanuska River Flood Acquisition Of Two Properties: Butte Area 2,478312.50,Did Not Meet HMA Requirements,2015
Arizona,2015 Eagar School Bus Road FMA,352624.00,Not Selected,2015
Arizona,Potrero Creek (FMA),263033.25,Did Not Meet HMA Requirements,2015
Arizona,Ephraim Canyon Flood Reduction (FMA),7297847.50,Did Not Meet HMA Requirements,2015
Arizona,2015 FMA Northern Solution,306457.00,Did Not Meet HMA Requirements,2015
Arkansas,City of Sherwood Deerfield Acquisition/Demolition,125217.00,Identified for Further Review,2015
Arkansas,Ashley County Flood Hazard Mitigation Plan Update,25000.00,Identified for Further Review,2015
Arkansas,Crawford County Flood Hazard Mitigation Plan,25000.00,Identified for Further Review,2015
Arkansas,Sebastian County Flood Hazard Mitigation Plan Update,25000.00,Identified for Further Review,2015
Arkansas,City of Maumelle Drainage Project,2457862.50,Not Selected,2015
Arkansas,Little Rock Stagecoach Road Acquisition Project,249563.75,Not Selected,2015
Arkansas,Sherwood Jacksonville-Cato Road Elevation Project,1171050.01,Did Not Meet HMA Requirements,2015
Arkansas,City of Jacksonville Acquisition/Demolition Project,121983.75,Did Not Meet HMA Requirements,2015
California,Sonoma County Flood Elevation Program,2755245.53,Not Selected,2015
Connecticut,Simsbury -FMA2015 - Demolition of Existing Structure - 1 Old Bridge Road,41978.48,Identified for Further Review,2015
Connecticut,"Home Elevation Project 146 Kings Hwy N. Westport, CT",107772.00,Identified for Further Review,2015
Connecticut,Home Elevation Project - 332 Compo Road South,202839.52,Identified for Further Review,2015
Florida,FY 2015 FMA - Hillsborough - Moffatt Acquisition,87992.25,Identified for Further Review,2015
Florida,FY15-FMA-City of Lynn Haven Aquire/Demo - 710 Kentucky Ave (Mormile),262428.00,Identified for Further Review,2015
Florida,St. Petersburg Elevation Project,411997.38,Identified for Further Review,2015
Florida,Santa Rosa County 2015 FMA Elevations,422550.00,Identified for Further Review,2015
Florida,Madeira Beach Mitigation Reconstruction Project,1334777.27,Identified for Further Review,2015
Florida,FY 2015 FMA - Hillsborough - Sonora Drive Mitigation Reconstruction,210110.00,Identified for Further Review,2015
Florida,SRIA 2015 Elevation Application,2509190.00,Identified for Further Review,2015
Florida,Santa Rosa County 2015 RL Elevation,152460.00,Identified for Further Review,2015
Florida,Escambia County Acquisition Project,721487.32,Identified for Further Review,2015
Florida,Escambia County Elevation Project,459764.29,Identified for Further Review,2015
Florida,FMA Technical Assistance,49999.00,Identified for Further Review,2015
Florida,Santa Rosa County 2015 SRL Elevation,826400.00,Identified for Further Review,2015
Florida,City of Daytona Beach Acquisition Demolition,94101.75,Not Selected,2015
Florida,Redington Beach Elevation Project,638125.49,Not Selected,2015
Florida,St. Petersburg Mitigation Reconstruction Project,890066.09,Not Selected,2015
Florida,Redington Beach Mitigation Reconstruction Project,630818.12,Not Selected,2015
Florida,Forest Creek Acquisition Project,17857795.63,Not Selected,2015
Florida,FY2015 Walton County Florida Elevation Project,522996.21,Not Selected,2015
Florida,Acquisition/Demolition 240 Cherokee Dr Ormond Beach Fl,204000.00,Did Not Meet HMA Requirements,2015
Florida,2015 FMA Kulwicki Acquisition Project,81494.19,Did Not Meet HMA Requirements,2015
Georgia,Cobb County FMA15 Acquisition Project,157915.50,Not Selected,2015
Georgia,Camden County FMA15,80962.50,Not Selected,2015
Illinois,DuPage County FMA Acquisition/Demolition Project,631139.00,Identified for Further Review,2015
Illinois,Cook County FMA Application 2015,1716555.00,Identified for Further Review,2015
Illinois,Macon County Floodplain Aquisition Project,617704.45,Not Selected,2015
Illinois,Village of Addison FY15 Acquisitions,801281.25,Not Selected,2015
Illinois,Lake County 2015 FMA Gurnee Property Acquisitions,468231.50,Not Selected,2015
Illinois,Village of Mansfield Flood Mitigation Project,132933.00,Not Selected,2015
Iowa,Iowa Flood Risk Planning,37500.00,Identified for Further Review,2015
