state	county	policies	insurance	premium
ALABAMA	AUTAUGA COUNTY	1791	390543300	1279059
ALABAMA	BALDWIN COUNTY	26690	5923523700	13081094
ALABAMA	BARBOUR COUNTY	43	9582400	31422
ALABAMA	BIBB COUNTY	35	5890200	30592
ALABAMA	BLOUNT COUNTY	61	13003700	62263
ALABAMA	BULLOCK COUNTY	12	3346000	5113
ALABAMA	BUTLER COUNTY	11	3650500	10685
ALABAMA	CALHOUN COUNTY	605	112569300	502481
ALABAMA	CHAMBERS COUNTY	60	13473400	74974
ALABAMA	CHEROKEE COUNTY	180	35799400	111177
ALABAMA	CHILTON COUNTY	88	18300900	62949
ALABAMA	CHOCTAW COUNTY	49	7126400	37610
ALABAMA	CLARKE COUNTY	41	6927400	29998
ALABAMA	CLAY COUNTY	1	215800	2676
ALABAMA	CLEBURNE COUNTY	5	1022200	2697
ALABAMA	COFFEE COUNTY	327	69829500	226850
ALABAMA	COLBERT COUNTY	152	29961700	130465
ALABAMA	CONECUH COUNTY	2	687400	1024
ALABAMA	COOSA COUNTY	24	4581200	18819
ALABAMA	COVINGTON COUNTY	147	25639400	117287
ALABAMA	CRENSHAW COUNTY	5	755000	2369
ALABAMA	CULLMAN COUNTY	117	25567700	68982
ALABAMA	DALE COUNTY	481	104782700	293818
ALABAMA	DALLAS COUNTY	370	58966900	325581
ALABAMA	DE KALB COUNTY	87	21211700	79377
ALABAMA	ELMORE COUNTY	325	73947300	222377
ALABAMA	ESCAMBIA COUNTY	216	43748200	335477
ALABAMA	ETOWAH COUNTY	441	87592900	301031
ALABAMA	FAYETTE COUNTY	24	3669900	14430
ALABAMA	FRANKLIN COUNTY	33	4742900	24986
ALABAMA	GENEVA COUNTY	108	22809800	77598
ALABAMA	GREENE COUNTY	95	13990400	64913
ALABAMA	HALE COUNTY	157	21659700	114594
ALABAMA	HENRY COUNTY	38	8633100	37332
ALABAMA	HOUSTON COUNTY	110	20684700	68808
ALABAMA	JACKSON COUNTY	200	35163200	137765
ALABAMA	JEFFERSON COUNTY	2362	529813300	2670392
ALABAMA	LAMAR COUNTY	15	2632000	7658
ALABAMA	LAUDERDALE COUNTY	187	42573400	153338
ALABAMA	LAWRENCE COUNTY	75	12674600	61111
ALABAMA	LEE COUNTY	463	116745700	269790
ALABAMA	LIMESTONE COUNTY	4314	1137376200	3001176
ALABAMA	LOWNDES COUNTY	79	13794500	53330
ALABAMA	MACON COUNTY	34	7303400	16986
ALABAMA	MADISON COUNTY	1000	251436400	528149
ALABAMA	MARENGO COUNTY	104	16212900	93816
ALABAMA	MARION COUNTY	30	5978700	22091
ALABAMA	MARSHALL COUNTY	114	26119400	77218
ALABAMA	MOBILE COUNTY	8275	2154017900	8423808
ALABAMA	MONROE COUNTY	17	2441800	10828
ALABAMA	MONTGOMERY COUNTY	243	56095600	177485
ALABAMA	MORGAN COUNTY	202	44083400	115031
ALABAMA	PICKENS COUNTY	84	15503000	80783
ALABAMA	PIKE COUNTY	15	4033000	13299
ALABAMA	RANDOLPH COUNTY	13	2921000	8603
ALABAMA	RUSSELL COUNTY	56	12660400	37300
ALABAMA	SHELBY COUNTY	791	220968200	605259
ALABAMA	ST. CLAIR COUNTY	612	138211400	381990
ALABAMA	SUMTER COUNTY	44	7850000	31005
ALABAMA	TALLADEGA COUNTY	514	97033300	429263
ALABAMA	TALLAPOOSA COUNTY	107	27507300	62211
ALABAMA	TUSCALOOSA COUNTY	993	220450500	754419
ALABAMA	WALKER COUNTY	134	29058300	129098
ALABAMA	WASHINGTON COUNTY	15	2959000	13251
ALABAMA	WILCOX COUNTY	68	11366700	47034
ALABAMA	WINSTON COUNTY	74	17969800	57643
ALASKA	ANCHORAGE BOROUGH	442	123177600	317761
ALASKA	ANIAK	9	3914900	12531
ALASKA	BETHEL CENSUS AREA	132	32069600	200894
ALASKA	BRISTOL BAY	2	528800	3795
ALASKA	DILLINGHAM CENSUS AREA	2	850000	1640
ALASKA	FAIRBANKS NORTH STAR BOROUGH	710	181579300	566344
ALASKA	HAINES BOROUGH	2	7e+05	788
ALASKA	JUNEAU BOROUGH	330	89559800	206601
ALASKA	KENAI-COOK BOROUGH	322	82565900	225433
ALASKA	KENAI-COOK DIVISION	18	6652000	14027
ALASKA	KETCHIKAN GATEWAY BOROUGH	48	19265400	100187
ALASKA	KOTZEBUE BOROUGH	18	5648500	18271
ALASKA	MATANUSKA-SUSITNA BOROUGH	260	60313500	309296
ALASKA	NOME CENSUS AREA	39	14036100	69794
ALASKA	SITKA BOROUGH	77	23566500	76089
ALASKA	SKAGWAY-YAKUTAT-ANGOON	4	1330000	1470
ALASKA	VALDEZ-CORDOVA CENSUS AREA	43	11714300	42255
ALASKA	WRANGELL-PETERSBURG CA	23	6999300	16001
ALASKA	YUKON-KOYUKUK CENSUS AREA	73	17536900	68069
ARIZONA	APACHE COUNTY	48	9899400	47633
ARIZONA	COCHISE COUNTY	1233	218450200	934842
ARIZONA	COCONINO COUNTY	1114	305138800	990108
ARIZONA	GILA COUNTY	408	74739500	541837
ARIZONA	GRAHAM COUNTY	264	45804300	177862
ARIZONA	GREENLEE COUNTY	38	5541700	36251
ARIZONA	LA PAZ COUNTY	289	62683100	181897
ARIZONA	MARICOPA	56	13000100	40902
ARIZONA	MARICOPA COUNTY	18987	5014648900	10655358
ARIZONA	MOHAVE COUNTY	1183	256580300	570882
ARIZONA	MOJAVE COUNTY	15	3273700	6948
ARIZONA	NAVAJO COUNTY	589	106864800	607283
ARIZONA	PIMA COUNTY	4293	1012394900	3396759
ARIZONA	PINAL COUNTY	1234	309625300	703425
ARIZONA	SANTA CRUZ COUNTY	633	148260900	662055
ARIZONA	YAVAPAI COUNTY	2048	460763400	1468098
ARIZONA	YUMA COUNTY	569	101763300	540296
ARKANSAS	CALHOUN COUNTY	6	175500	2699
ARKANSAS	CLAY COUNTY	220	21988000	144262
ARKANSAS	CLEBURNE COUNTY	172	38124300	153147
ARKANSAS	DALLAS COUNTY	3	328800	2285
ARKANSAS	FRANKLIN COUNTY	23	4610000	17648
ARKANSAS	GREENE COUNTY	666	65459900	303352
ARKANSAS	JACKSON COUNTY	265	33205100	219256
ARKANSAS	JEFFERSON COUNTY	456	66241400	383086
ARKANSAS	LAWRENCE COUNTY	184	20107200	147197
ARKANSAS	LEE COUNTY	97	9913400	81182
ARKANSAS	MADISON COUNTY	16	819200	12114
ARKANSAS	MARION COUNTY	16	2226100	11260
ARKANSAS	MONROE COUNTY	190	18347700	139824
ARKANSAS	MONTGOMERY COUNTY	82	13140100	40014
ARKANSAS	PIKE COUNTY	18	4676700	23508
ARKANSAS	RANDOLPH COUNTY	141	24219900	94752
ARKANSAS	WASHINGTON COUNTY	871	200534200	815484
ARKANSAS	ARKANSAS COUNTY	214	20644200	148565
ARKANSAS	ASHLEY COUNTY	87	9951600	58145
ARKANSAS	BAXTER COUNTY	187	27913500	174061
ARKANSAS	BENTON COUNTY	836	194086000	734782
ARKANSAS	BOONE COUNTY	70	17185800	117930
ARKANSAS	BRADLEY COUNTY	51	4830100	36512
ARKANSAS	CARROLL COUNTY	7	1748900	5864
ARKANSAS	CHICOT COUNTY	316	80132900	178241
ARKANSAS	CLARK COUNTY	103	17040700	77112
ARKANSAS	COLUMBIA COUNTY	11	2212400	11309
ARKANSAS	CONWAY COUNTY	51	7694200	36961
ARKANSAS	CRAIGHEAD COUNTY	1187	172450500	910267
ARKANSAS	CRAWFORD COUNTY	236	44882700	187241
ARKANSAS	CRITTENDEN COUNTY	691	140944900	431956
ARKANSAS	CROSS COUNTY	206	21180600	186450
ARKANSAS	DESHA COUNTY	285	36295300	169410
ARKANSAS	DREW COUNTY	47	6402900	26025
ARKANSAS	FAULKNER COUNTY	693	140078000	478116
ARKANSAS	FULTON COUNTY	40	3937800	32859
ARKANSAS	GARLAND COUNTY	1055	213736000	882766
ARKANSAS	GRANT COUNTY	59	9893600	40575
ARKANSAS	HEMPSTEAD COUNTY	12	1928700	7892
ARKANSAS	HOT SPRING COUNTY	72	15752100	59741
ARKANSAS	HOWARD COUNTY	28	3818100	25428
ARKANSAS	INDEPENDENCE COUNTY	191	30395700	260754
ARKANSAS	IZARD COUNTY	105	16979800	151332
ARKANSAS	JOHNSON COUNTY	126	12438200	95357
ARKANSAS	LAFAYETTE COUNTY	7	227200	3951
ARKANSAS	LINCOLN COUNTY	32	3806900	22988
ARKANSAS	LITTLE RIVER COUNTY	18	994900	10163
ARKANSAS	LOGAN COUNTY	25	1979600	16834
ARKANSAS	LONOKE COUNTY	326	63774400	222035
ARKANSAS	MILLER COUNTY	247	39205600	273757
ARKANSAS	MISSISSIPPI COUNTY	227	37418300	150135
ARKANSAS	NEVADA COUNTY	9	1157200	9225
ARKANSAS	NEWTON COUNTY	2	838100	3625
ARKANSAS	OUACHITA COUNTY	104	14584700	89227
ARKANSAS	PERRY COUNTY	64	7527900	60091
ARKANSAS	PHILLIPS COUNTY	226	32877400	183770
ARKANSAS	POINSETT COUNTY	217	28044500	162879
ARKANSAS	POLK COUNTY	48	5530300	39721
ARKANSAS	POPE COUNTY	214	41428000	202745
ARKANSAS	PRAIRIE COUNTY	95	10065900	75022
ARKANSAS	PULASKI COUNTY	2832	596418200	2359911
ARKANSAS	SALINE COUNTY	359	79652300	195057
ARKANSAS	SCOTT COUNTY	5	1045000	12001
ARKANSAS	SEBASTIAN COUNTY	569	125815400	519695
ARKANSAS	SEVIER COUNTY	28	2923700	24569
ARKANSAS	SHARP COUNTY	91	17013300	80115
ARKANSAS	ST. FRANCIS COUNTY	123	18301800	127220
ARKANSAS	STONE COUNTY	5	1065800	2282
ARKANSAS	UNION COUNTY	132	21334900	145487
ARKANSAS	VAN BUREN COUNTY	33	6007000	41346
ARKANSAS	WHITE COUNTY	346	63838300	251213
ARKANSAS	WOODRUFF COUNTY	67	7752700	52481
ARKANSAS	YELL COUNTY	52	6933100	39031
CALIFORNIA	SANTA CRUZ COUNTY	4298	1096313500	5026432
CALIFORNIA	NEVADA COUNTY	225	59703700	196589
CALIFORNIA	ALAMEDA COUNTY	4273	1240649600	4045738
CALIFORNIA	ALPINE COUNTY	98	4501400	24878
CALIFORNIA	AMADOR COUNTY	194	48698500	173101
CALIFORNIA	BUTTE COUNTY	2754	698849500	2142126
CALIFORNIA	CALAVERAS COUNTY	359	105459900	226031
CALIFORNIA	COLUSA COUNTY	590	164223300	404648
CALIFORNIA	CONTRA COSTA COUNTY	5297	1453902500	5675719
CALIFORNIA	DEL NORTE COUNTY	187	47201500	254653
CALIFORNIA	EL DORADO COUNTY	466	134563900	513718
CALIFORNIA	FRESNO COUNTY	1694	431210100	1246392
CALIFORNIA	GLENN COUNTY	573	117388400	442803
